,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
327,17,3,1.00,34.1,0,5,2016
328,17,3,1.00,40.3,0,6,2016
329,17,3,1.00,42.7,0,7,2016
330,17,3,1.00,34.7,0,8,2016
331,17,3,1.00,42.8,0,9,2016
332,17,3,1.00,51.1,0,10,2016
333,17,3,1.00,54.5,0,11,2016
334,17,3,1.00,58.7,0,12,2016
335,17,3,1.00,52.8,0,13,2016
336,17,3,1.00,48.5,0,14,2016
337,17,3,1.00,49.0,0,15,2016
338,17,3,1.00,47.9,0,16,2016
339,17,3,1.00,52.7,0,17,2016
340,17,3,1.00,53.9,0,18,2016
341,17,3,1.00,52.5,0,19,2016
342,17,3,1.00,74.6,0,20,2016
343,17,3,1.00,73.3,0,21,2016
344,17,3,1.00,73.1,0,22,2016
345,17,3,1.00,58.3,0,23,2016
346,18,3,1.00,45.4,0,0,2016
347,18,3,1.00,40.4,0,1,2016
348,18,3,1.00,36.3,0,2,2016
349,18,3,1.00,35.4,0,3,2016
350,18,3,1.00,34.7,0,4,2016
351,18,3,1.00,43.1,0,5,2016
352,18,3,1.00,44.1,0,6,2016
353,18,3,1.00,36.6,0,7,2016
354,18,3,1.00,41.7,0,8,2016
355,18,3,1.00,48.2,0,9,2016
356,18,3,1.00,46.5,0,10,2016
357,18,3,1.00,42.4,0,11,2016
358,18,3,1.00,41.3,0,12,2016
359,18,3,1.00,41.4,0,13,2016
360,18,3,1.00,44.8,0,14,2016
361,18,3,1.00,43.0,0,15,2016
362,18,3,1.00,44.1,0,16,2016
363,18,3,1.00,43.0,0,17,2016
364,18,3,1.00,49.5,0,18,2016
365,18,3,1.00,56.7,0,19,2016
366,18,3,1.00,64.7,0,20,2016
367,18,3,1.00,75.1,0,21,2016
368,18,3,1.00,65.6,0,22,2016
369,18,3,1.00,58.5,0,23,2016
370,19,3,1.00,48.6,0,0,2016
371,19,3,0.00,60.8,0,1,2016
372,19,3,0.00,47.5,0,2,2016
373,19,3,0.00,44.7,0,3,2016
374,19,3,1.00,55.9,0,4,2016
375,19,3,1.00,41.4,0,5,2016
376,19,3,1.00,37.4,0,6,2016
377,19,3,1.00,41.6,0,7,2016
378,19,3,1.00,48.3,0,8,2016
379,19,3,1.00,58.4,0,9,2016
380,19,3,1.00,84.3,0,10,2016
381,19,3,1.00,94.7,0,11,2016
382,19,3,1.00,95.0,0,12,2016
383,19,3,1.00,78.4,0,13,2016
384,19,3,1.00,74.7,0,14,2016
385,19,3,1.00,75.1,0,15,2016
386,19,3,1.00,78.0,0,16,2016
387,19,3,1.00,77.6,0,17,2016
388,19,3,1.00,79.0,0,18,2016
389,19,3,1.00,89.4,0,19,2016
390,19,3,1.00,101.1,0,20,2016
391,19,3,1.00,109.9,0,21,2016
392,19,3,1.00,106.9,0,22,2016
393,19,3,1.00,105.0,0,23,2016
394,20,3,1.00,104.6,0,0,2016
395,20,3,1.00,109.4,0,1,2016
396,20,3,1.00,94.9,0,2,2016
397,20,3,1.00,76.7,0,3,2016
398,20,3,1.00,78.2,0,4,2016
399,20,3,1.00,91.7,0,5,2016
400,20,3,1.00,113.7,0,6,2016
401,20,3,1.00,69.7,0,7,2016
402,20,3,1.00,71.1,0,8,2016
403,20,3,1.00,87.7,0,9,2016
404,20,3,1.00,98.5,0,10,2016
405,20,3,1.00,101.7,0,11,2016
406,20,3,1.00,95.7,0,12,2016
407,20,3,1.00,99.5,0,13,2016
408,20,3,1.00,97.3,0,14,2016
409,20,3,1.00,98.8,0,15,2016
410,20,3,1.00,100.7,0,16,2016
411,20,3,1.00,101.2,0,17,2016
412,20,3,1.00,107.6,0,18,2016
413,20,3,1.00,123.9,0,19,2016
414,20,3,1.00,119.7,0,20,2016
415,20,3,1.00,113.1,0,21,2016
416,20,3,1.00,105.0,0,22,2016
417,20,3,1.00,91.9,0,23,2016
418,21,3,1.00,79.4,0,0,2016
419,21,3,1.00,70.4,0,1,2016
420,21,3,1.00,70.2,0,2,2016
421,21,3,1.00,53.0,0,3,2016
422,21,3,1.00,57.8,0,4,2016
423,21,3,1.00,50.7,0,5,2016
424,21,3,1.00,54.4,0,6,2016
425,21,3,1.00,65.4,0,7,2016
426,21,3,1.00,95.9,0,8,2016
427,21,3,1.00,103.9,0,9,2016
428,21,3,1.00,82.7,0,10,2016
429,21,3,1.00,64.4,0,11,2016
430,21,3,1.00,52.0,0,12,2016
431,21,3,1.00,49.2,0,13,2016
432,21,3,1.00,53.3,0,14,2016
433,21,3,1.00,59.2,0,15,2016
434,21,3,1.00,60.5,0,16,2016
435,21,3,1.00,64.2,0,17,2016
436,21,3,1.00,68.2,0,18,2016
437,21,3,1.00,73.7,0,19,2016
438,21,3,1.00,71.0,0,20,2016
439,21,3,1.00,71.1,0,21,2016
440,21,3,1.00,68.9,0,22,2016
441,21,3,1.00,64.5,0,23,2016
442,22,3,0.00,55.5,0,0,2016
443,22,3,0.00,52.1,0,1,2016
444,22,3,0.00,52.3,0,2,2016
445,22,3,0.00,45.7,0,3,2016
446,22,3,0.00,42.6,0,4,2016
447,22,3,0.00,48.5,0,5,2016
448,22,3,0.00,53.7,0,6,2016
449,22,3,0.00,61.4,0,7,2016
450,22,3,0.00,68.4,0,8,2016
451,22,3,0.00,78.4,0,9,2016
452,22,3,0.00,87.5,0,10,2016
453,22,3,0.00,91.1,0,11,2016
454,22,3,0.00,94.0,0,12,2016
455,22,3,0.00,86.7,0,13,2016
456,22,3,0.00,85.6,0,14,2016
457,22,3,0.00,86.2,0,15,2016
458,22,3,0.00,86.6,0,16,2016
459,22,3,0.00,84.3,0,17,2016
460,22,3,0.00,90.4,0,18,2016
461,22,3,0.00,100.5,0,19,2016
462,22,3,0.00,104.9,0,20,2016
463,22,3,0.00,105.2,0,21,2016
464,22,3,0.00,101.1,0,22,2016
465,22,3,0.00,94.2,0,23,2016
466,23,3,0.00,79.1,0,0,2016
467,23,3,0.00,67.2,0,1,2016
468,23,3,1.00,47.7,0,2,2016
469,23,3,1.00,52.9,0,3,2016
470,23,3,1.00,55.2,0,4,2016
471,23,3,1.00,52.5,0,5,2016
472,23,3,1.00,64.9,0,6,2016
473,23,3,1.00,75.1,0,7,2016
474,23,3,1.00,92.0,0,8,2016
475,23,3,1.00,96.8,0,9,2016
476,23,3,1.00,98.9,0,10,2016
477,23,3,1.00,96.7,0,11,2016
478,23,3,1.00,95.2,0,12,2016
479,23,3,1.00,93.5,0,13,2016
480,23,3,1.00,90.5,0,14,2016
481,23,3,1.00,89.4,0,15,2016
482,23,3,1.00,90.6,0,16,2016
483,23,3,1.00,96.8,0,17,2016
484,23,3,1.00,112.4,0,18,2016
485,23,3,1.00,113.5,0,19,2016
486,23,3,1.00,118.8,0,20,2016
487,23,3,1.00,108.3,0,21,2016
488,23,3,1.00,98.7,0,22,2016
489,23,3,1.00,88.9,0,23,2016
490,24,3,1.00,80.6,0,0,2016
491,24,3,1.00,75.9,0,1,2016
492,24,3,1.00,76.5,0,2,2016
493,24,3,1.00,74.5,0,3,2016
494,24,3,1.00,77.4,0,4,2016
495,24,3,1.00,80.5,0,5,2016
496,24,3,1.00,75.0,0,6,2016
497,24,3,1.00,102.9,0,7,2016
498,24,3,1.00,103.1,0,8,2016
499,24,3,1.00,97.4,0,9,2016
500,24,3,1.00,91.1,0,10,2016
501,24,3,1.00,94.9,0,11,2016
502,24,3,1.00,93.0,0,12,2016
503,24,3,1.00,92.8,0,13,2016
504,24,3,1.00,96.2,0,14,2016
505,24,3,1.00,110.8,0,15,2016
506,24,3,1.00,112.6,0,16,2016
507,24,3,1.00,115.6,0,17,2016
508,24,3,1.00,142.2,0,18,2016
509,24,3,1.00,122.7,0,19,2016
510,24,3,1.00,132.2,0,20,2016
511,24,3,1.00,146.3,0,21,2016
512,24,3,1.00,161.5,0,22,2016
513,24,3,1.00,170.0,0,23,2016
514,25,3,1.00,164.4,0,0,2016
515,25,3,1.00,145.4,0,1,2016
516,25,3,1.00,139.7,0,2,2016
517,25,3,1.00,124.4,0,3,2016
518,25,3,1.00,120.0,0,4,2016
519,25,3,1.00,108.7,0,5,2016
520,25,3,1.00,110.6,0,6,2016
