Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
28,3,1.00,89.2,0,20,2016
28,3,1.00,98.5,0,21,2016
28,3,1.00,103.6,0,22,2016
28,3,1.00,98.7,0,23,2016
29,3,1.00,85.1,0,0,2016
29,3,1.00,66.4,0,1,2016
29,3,1.00,63.6,0,2,2016
29,3,1.00,54.3,0,3,2016
29,3,1.00,57.2,0,4,2016
29,3,1.00,61.1,0,5,2016
29,3,1.00,56.8,0,6,2016
29,3,1.00,56.8,0,7,2016
29,3,1.00,62.3,0,8,2016
29,3,1.00,72.1,0,9,2016
29,3,1.00,86.0,0,10,2016
29,3,1.00,87.6,0,11,2016
29,3,1.00,80.6,0,12,2016
29,3,1.00,82.4,0,13,2016
29,3,1.00,77.8,0,14,2016
29,3,1.00,77.2,0,15,2016
29,3,1.00,88.4,0,16,2016
29,3,1.00,94.4,0,17,2016
29,3,1.00,112.6,0,18,2016
29,3,1.00,115.4,0,19,2016
29,3,1.00,120.9,0,20,2016
29,3,1.00,126.9,0,21,2016
29,3,1.00,126.8,0,22,2016
29,3,1.00,133.5,0,23,2016
30,3,1.00,120.6,0,0,2016
30,3,1.00,112.1,0,1,2016
30,3,1.00,101.6,0,2,2016
30,3,1.00,95.3,0,3,2016
30,3,1.00,100.8,0,4,2016
30,3,1.00,102.6,0,5,2016
30,3,1.00,107.7,0,6,2016
30,3,1.00,106.3,0,7,2016
30,3,1.00,108.3,0,8,2016
30,3,1.00,107.9,0,9,2016
30,3,1.00,107.7,0,10,2016
30,3,1.00,115.8,0,11,2016
30,3,1.00,118.6,0,12,2016
30,3,1.00,123.1,0,13,2016
30,3,1.00,127.7,0,14,2016
30,3,1.00,131.1,0,15,2016
30,3,1.00,108.6,0,16,2016
30,3,1.00,108.4,0,17,2016
30,3,1.00,137.5,0,18,2016
30,3,1.00,135.9,0,19,2016
30,3,1.00,140.3,0,20,2016
30,3,1.00,162.3,0,21,2016
30,3,1.00,172.0,0,22,2016
30,3,1.00,175.2,0,23,2016
31,3,1.00,161.9,0,0,2016
31,3,1.00,145.5,0,1,2016
31,3,1.00,127.7,0,3,2016
31,3,1.00,117.9,0,4,2016
31,3,1.00,115.6,0,5,2016
31,3,1.00,104.6,0,6,2016
31,3,1.00,109.9,0,9,2016
31,3,1.00,119.7,0,10,2016
31,3,1.00,125.6,0,11,2016
31,3,1.00,136.1,0,12,2016
31,3,1.00,135.7,0,13,2016
31,3,1.00,129.7,0,14,2016
31,3,1.00,127.1,0,15,2016
31,3,1.00,127.6,0,16,2016
31,3,1.00,135.4,0,17,2016
31,3,1.00,132.0,0,18,2016
31,3,1.00,136.3,0,19,2016
31,3,1.00,146.9,0,20,2016
31,3,1.00,166.6,0,21,2016
31,3,1.00,159.2,0,22,2016
31,3,1.00,113.4,0,23,2016
1,4,1.00,154.2,0,0,2016
1,4,1.00,133.1,0,1,2016
1,4,1.00,120.2,0,2,2016
1,4,1.00,108.2,0,3,2016
1,4,1.00,101.8,0,4,2016
1,4,1.00,95.3,0,5,2016
1,4,1.00,88.4,0,6,2016
1,4,1.00,91.3,0,7,2016
1,4,1.00,76.1,0,8,2016
1,4,1.00,76.9,0,9,2016
1,4,1.00,80.3,0,10,2016
1,4,1.00,78.8,0,11,2016
1,4,1.00,75.5,0,12,2016
