Date,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year,latitude,longitude
2016-03-11,11,3,1.00,63.6,0,17,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,18,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,19,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,20,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,21,2016,18.7904,98.9847
2016-03-11,11,3,1.00,64.0,0,22,2016,18.7904,98.9847
2016-03-11,11,3,1.00,63.6,0,23,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,0,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,1,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.9,0,2,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.9,0,3,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.5,0,4,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.5,0,5,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,6,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,7,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,8,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,9,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,10,2016,18.7904,98.9847
2016-03-12,12,3,1.00,64.0,0,11,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.6,0,12,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.6,0,13,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.6,0,14,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.6,0,15,2016,18.7904,98.9847
2016-03-12,12,3,1.00,63.6,0,16,2016,18.7904,98.9847
2016-03-12,12,3,1.00,45.8,0,17,2016,18.7904,98.9847
2016-03-12,12,3,1.00,55.6,0,18,2016,18.7904,98.9847
2016-03-12,12,3,1.00,55.1,0,19,2016,18.7904,98.9847
2016-03-12,12,3,1.00,56.2,0,20,2016,18.7904,98.9847
2016-03-12,12,3,1.00,50.0,0,21,2016,18.7904,98.9847
2016-03-12,12,3,1.00,43.0,0,22,2016,18.7904,98.9847
2016-03-12,12,3,1.00,45.3,0,23,2016,18.7904,98.9847
2016-03-13,13,3,1.00,43.4,0,0,2016,18.7904,98.9847
2016-03-13,13,3,1.00,42.4,0,1,2016,18.7904,98.9847
2016-03-13,13,3,1.00,41.7,0,3,2016,18.7904,98.9847
2016-03-13,13,3,1.00,17.2,0,4,2016,18.7904,98.9847
2016-03-13,13,3,1.00,18.4,0,5,2016,18.7904,98.9847
2016-03-13,13,3,1.00,34.1,0,6,2016,18.7904,98.9847
2016-03-13,13,3,1.00,43.5,0,7,2016,18.7904,98.9847
2016-03-13,13,3,1.00,42.2,0,8,2016,18.7904,98.9847
2016-03-13,13,3,1.00,39.2,0,9,2016,18.7904,98.9847
2016-03-13,13,3,1.00,39.9,0,10,2016,18.7904,98.9847
2016-03-13,13,3,1.00,37.3,0,11,2016,18.7904,98.9847
2016-03-13,13,3,1.00,26.8,0,12,2016,18.7904,98.9847
2016-03-13,13,3,1.00,28.8,0,13,2016,18.7904,98.9847
2016-03-13,13,3,1.00,32.5,0,14,2016,18.7904,98.9847
2016-03-13,13,3,1.00,32.0,0,15,2016,18.7904,98.9847
2016-03-13,13,3,1.00,48.5,0,16,2016,18.7904,98.9847
2016-03-13,13,3,1.00,53.9,0,17,2016,18.7904,98.9847
2016-03-13,13,3,1.00,57.1,0,18,2016,18.7904,98.9847
2016-03-13,13,3,1.00,58.6,0,19,2016,18.7904,98.9847
2016-03-13,13,3,1.00,59.6,0,20,2016,18.7904,98.9847
2016-03-13,13,3,1.00,60.4,0,21,2016,18.7904,98.9847
2016-03-13,13,3,1.00,54.6,0,22,2016,18.7904,98.9847
2016-03-13,13,3,1.00,47.3,0,23,2016,18.7904,98.9847
2016-03-14,14,3,1.00,50.5,0,0,2016,18.7904,98.9847
2016-03-14,14,3,1.00,46.6,0,1,2016,18.7904,98.9847
2016-03-14,14,3,1.00,61.1,0,2,2016,18.7904,98.9847
2016-03-14,14,3,1.00,64.3,0,3,2016,18.7904,98.9847
2016-03-14,14,3,1.00,59.3,0,4,2016,18.7904,98.9847
2016-03-14,14,3,1.00,59.8,0,5,2016,18.7904,98.9847
2016-03-14,14,3,1.00,73.6,0,6,2016,18.7904,98.9847
2016-03-14,14,3,1.00,83.8,0,7,2016,18.7904,98.9847
2016-03-14,14,3,1.00,88.2,0,8,2016,18.7904,98.9847
2016-03-14,14,3,1.00,82.8,0,9,2016,18.7904,98.9847
2016-03-14,14,3,1.00,80.4,0,10,2016,18.7904,98.9847
2016-03-14,14,3,1.00,77.4,0,11,2016,18.7904,98.9847
2016-03-14,14,3,1.00,65.9,0,12,2016,18.7904,98.9847
2016-03-14,14,3,1.00,74.3,0,13,2016,18.7904,98.9847
2016-03-14,14,3,1.00,71.9,0,14,2016,18.7904,98.9847
2016-03-14,14,3,1.00,72.1,0,16,2016,18.7904,98.9847
2016-03-14,14,3,1.00,69.0,0,17,2016,18.7904,98.9847
2016-03-14,14,3,1.00,73.5,0,18,2016,18.7904,98.9847
2016-03-14,14,3,1.00,73.1,0,19,2016,18.7904,98.9847
2016-03-14,14,3,1.00,72.4,0,20,2016,18.7904,98.9847
2016-03-14,14,3,1.00,73.6,0,21,2016,18.7904,98.9847
2016-03-14,14,3,1.00,68.2,0,22,2016,18.7904,98.9847
2016-03-14,14,3,1.00,63.6,0,23,2016,18.7904,98.9847
2016-03-15,15,3,1.00,62.3,0,0,2016,18.7904,98.9847
2016-03-15,15,3,1.00,55.9,0,1,2016,18.7904,98.9847
2016-03-15,15,3,1.00,50.9,0,2,2016,18.7904,98.9847
2016-03-15,15,3,1.00,39.6,0,3,2016,18.7904,98.9847
2016-03-15,15,3,1.00,38.8,0,4,2016,18.7904,98.9847
2016-03-15,15,3,1.00,49.4,0,5,2016,18.7904,98.9847
2016-03-15,15,3,1.00,50.2,0,6,2016,18.7904,98.9847
2016-03-15,15,3,1.00,57.4,0,7,2016,18.7904,98.9847
2016-03-15,15,3,1.00,57.0,0,8,2016,18.7904,98.9847
2016-03-15,15,3,1.00,51.7,0,9,2016,18.7904,98.9847
2016-03-15,15,3,1.00,50.0,0,10,2016,18.7904,98.9847
2016-03-15,15,3,1.00,46.4,0,11,2016,18.7904,98.9847
